Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
Trafo Version1;3;2;[0, 1];m_default;5;26;25;1,43E-26;[5.18740938e-22 5.18764211e-22 9.44055624e-22]
Trafo Version1;3;2;[0, 2];m_default;5;26;25;1,31E-29;[6.38427982e-23 8.16782519e-23 4.83087623e-23]
Trafo Version1;3;2;[1, 2];m_default;5;26;25;5,41E-31;[ 1.46098661e-23 -1.49007392e-23  1.02708795e-23]
Trafo Version1;3;3;[0, 1, 2];m_default;4;26;24;2,40E-28;[ 5.16907198e-23  1.04057546e-22 -1.02378409e-22]
;;;;;;;;;
Trafo Version4;3;0;[];m_default;7;26;27;8,56E-31;[-1.43987373e-23  2.51374991e-23 -4.12699643e-24]
Trafo Version4;3;1;[0];m_default;7;26;27;4,93E-28;[-1.52801963e-24 -6.94798366e-22  1.03384516e-22]
Trafo Version4;3;1;[1];m_default;7;26;27;4,76E-23;[ 7.41769894e-20 -1.48140000e-23 -2.05286877e-19]
Trafo Version4;3;1;[2];m_default;7;26;27;8,28E-23;[ 9.78130372e-20 -2.70605627e-19 -1.95117614e-23]
Trafo Version4;3;2;[0, 1];m_default;7;26;27;4,30E-29;[-6.39852969e-26 -1.21248710e-25 -6.55726389e-23]
Trafo Version4;3;2;[0, 2];m_default;7;26;27;2,13E-31;[-2.77118947e-26  1.45939914e-23  5.49457398e-26]
Trafo Version4;3;2;[1, 2];m_default;7;26;27;7,78E-32;[-3.32545892e-24  5.61859553e-24 -5.93463214e-24]
Trafo Version4;3;3;[0, 1, 2];m_default;7;26;27;1,61E-30;[-4.71125581e-24  1.56722720e-24 -1.16765193e-23]
;;;;;;;;;
SQP (mixed);3;0;[];;;2;9;0.0;[0. 0. 0.]
SQP (mixed);3;1;[0];;;2;7;1,18E-14;[-8.8817842e-16  4.4408921e-16  4.4408921e-16]
SQP (mixed);3;1;[1];;;2;7;1,18E-14;[ 4.4408921e-16 -8.8817842e-16  4.4408921e-16]
SQP (mixed);3;1;[2];;;2;7;1,18E-14;[ 4.4408921e-16  4.4408921e-16 -8.8817842e-16]
SQP (mixed);3;2;[0, 1];;;2;5;1,18E-14;[-4.4408921e-16 -4.4408921e-16  8.8817842e-16]
SQP (mixed);3;2;[0, 2];;;2;5;1,18E-14;[-4.4408921e-16  8.8817842e-16 -4.4408921e-16]
SQP (mixed);3;2;[1, 2];;;2;5;1,18E-14;[ 8.8817842e-16 -4.4408921e-16 -4.4408921e-16]
SQP (mixed);3;3;[0, 1, 2];;;2;3;0.0;[0. 0. 0.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ21_Test;[0. 0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;3;0;[];2n+1;7;65;76;-11.749.849.711.131.400;[-2.90353403 -2.90353402 -2.90353403]
FullyDetQuadInterpol;3;0;[];0.5(n+1)(n+2);10;52;67;-11.749.849.711.131.400;[-2.90353403 -2.90353404 -2.90353404]
FullyDetLinearInterpol;3;0;[];n+1;4;71;82;-10.336.177.806.282.600;[ 2.74680281 -2.90353403 -2.90353403]
;;;;;;;;;
Trafo Version1;3;0;[];m_default;10;51;65;-11.749.849.711.131.400;[-2.90353403 -2.90353403 -2.90353403]
Trafo Version1;3;1;[0];m_default;6;45;51;-10.336.177.806.282.600;[-2.90353403 -2.90353403  2.74680277]
Trafo Version1;3;1;[1];m_default;6;43;51;-1.033.617.780.628.260;[-2.90353403 -2.90353403  2.74680277]
Trafo Version1;3;1;[2];m_default;6;49;58;-10.336.177.806.282.600;[-2.90353403  2.74680277 -2.90353403]
Trafo Version1;3;2;[0, 1];m_default;5;40;41;-1.033.617.780.628.260;[-2.90353403 -2.90353403  2.74680278]
Trafo Version1;3;2;[0, 2];m_default;5;40;41;-10.336.177.806.282.600;[-2.90353403  2.74680277 -2.90353403]
Trafo Version1;3;2;[1, 2];m_default;5;38;42;-11.749.849.711.131.400;[-2.90353403 -2.90353403 -2.90353403]
Trafo Version1;3;3;[0, 1, 2];m_default;4;41;44;-11.749.849.711.131.400;[-2.90353403 -2.90353403 -2.90353403]
;;;;;;;;;
Trafo Version4;3;0;[];m_default;7;65;76;-11.749.849.711.131.400;[-2.90353403 -2.90353403 -2.90353403]
Trafo Version4;3;1;[0];m_default;7;57;74;-11.749.849.711.131.400;[-2.90353403 -2.90353403 -2.90353403]
Trafo Version4;3;1;[1];m_default;7;69;85;-11.749.849.711.131.400;[-2.90353404 -2.90353403 -2.90353404]
