Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD05_genquartic_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;10;0;[];2n+1;21;356;463;1,50E+00;"[-5.69419760e-10  1.61730362e-09  2.06082245e-09  3.26272232e-09
 -4.16534991e-09  4.94669653e-09 -1.43074357e-09 -1.70378418e-09
 -2.30663639e-09  3.24803248e-09]"
FullyDetQuadInterpol;10;0;[];0.5(n+1)(n+2);66;170;273;1,88E-04;"[ 2.25382531e-11  5.11422826e-11 -6.93491460e-12  2.70657714e-11
  4.68112502e-11 -1.26740024e-11  1.02430158e-11  1.46363412e-11
  5.56105203e-11  2.47255289e-12]"
FullyDetLinearInterpol;10;0;[];n+1;11;237;279;7,19E+00;"[-2.98746899e-08  9.34032874e-09 -1.10862755e-08 -5.52047276e-09
  4.11704563e-09 -3.55077130e-09  9.74129904e-09  5.06800700e-09
 -7.85699471e-09  7.34142318e-08]"
;;;;;;;;;
Trafo Version1;10;5;[3, 5, 6, 7, 9];m_default;16;99;155;4,42E-02;"[ 1.06814716e-09 -2.19949735e-09 -8.65719341e-10 -3.32940812e-17
  3.92764428e-09 -4.62371841e-17  3.32253856e-18  4.75221463e-18
  7.03873265e-10 -1.54451261e-16]"
Trafo Version1;10;5;[2, 4, 5, 6, 7];m_default;16;101;158;3,08E-02;"[ 3.93670352e-10 -1.40783086e-10 -1.14325864e-16  1.04053265e-09
 -4.98416967e-18 -1.16332614e-18 -1.88332294e-17  2.93273605e-17
 -3.52960284e-10 -6.86923217e-10]"
Trafo Version1;10;5;[1, 2, 4, 7, 8];m_default;16;115;167;3,69E-05;"[ 1.50535483e-09 -5.34537547e-17  1.56117830e-17  1.62205024e-10
  5.49059172e-17  9.40324194e-11  6.79312015e-10  3.03549663e-16
  4.23266297e-17  6.52498610e-10]"
Trafo Version1;10;7;[0, 2, 3, 5, 6, 7, 8];m_default;14;62;88;1,68E-09;"[ 1.16909617e-13 -2.38083548e-13 -1.97481674e-13  5.79982077e-14
 -3.05587951e-13  3.91459021e-14  1.22015245e-14  2.48904719e-14
 -9.37782056e-14  1.12149879e-12]"
Trafo Version1;10;7;[0, 1, 4, 5, 6, 7, 9];m_default;14;75;97;7,04E-04;"[ 2.50187407e-10 -3.05198011e-10 -1.11227225e-11 -8.75308233e-12
 -7.81354479e-11  1.09439987e-10 -4.56982221e-10  9.01744589e-13
 -1.12951228e-11 -2.55028458e-11]"
Trafo Version1;10;7;[0, 1, 2, 3, 5, 7, 8];m_default;14;69;95;3,93E-04;"[ 7.46681768e-11 -5.25115969e-12  1.51871191e-11 -7.12486581e-11
  8.11750937e-15 -2.06982136e-10  1.34920386e-14  3.70330442e-10
  9.18248462e-11 -4.21375694e-14]"
Trafo Version1;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;11;53;68;9,80E-10;"[ 3.43172045e-14  1.74182593e-13  2.46898139e-14 -5.19550661e-14
 -2.71455598e-13 -2.02552299e-13 -2.81222201e-13 -4.82352507e-14
  6.77112582e-14  7.14071360e-13]"
;;;;;;;;;
Trafo Version4;10;5;[3, 5, 6, 7, 9];m_default;21;357;541;1,73E+01;"[-4.22990225e-09  2.12700381e-08 -1.68934848e-08 -2.93363336e-10
 -8.20923452e-09  3.85684507e-09 -4.24622994e-11 -5.71805872e-09
  1.57315717e-09  6.08529703e-10]"
Trafo Version4;10;5;[2, 4, 5, 6, 7];m_default;21;476;701;1,45E+01;"[ 8.00029247e-09 -2.32697179e-08  1.01459306e-09  5.39245559e-08
 -1.26591459e-10 -2.66893224e-10  2.25795028e-09  7.63079580e-10
 -3.29650770e-08 -7.31791448e-08]"
Trafo Version4;10;5;[1, 2, 4, 7, 8];m_default;21;528;798;1,90E+01;"[-5.69975681e-09 -8.50864128e-09  9.41072128e-10 -1.14863027e-08
 -3.48186656e-09 -2.08392946e-08 -5.21014768e-09  1.19170335e-08
  9.24066154e-09 -7.35920507e-09]"
Trafo Version4;10;7;[0, 2, 3, 5, 6, 7, 8];m_default;21;324;477;9,78E-02;"[-3.84467382e-09  5.76213057e-09  2.76464397e-10  3.13919635e-09
 -1.06057079e-09  2.59432634e-09 -1.04363954e-08  3.79237659e-09
  2.65196061e-09 -2.45073249e-08]"
Trafo Version4;10;7;[0, 1, 4, 5, 6, 7, 9];m_default;21;351;521;8,23E+00;"[ 1.55388088e-08  1.74960897e-10  1.26789315e-08 -4.51655169e-08
 -9.28184415e-09 -9.31266793e-09  1.60147221e-08  1.24561353e-08
  3.44595219e-08 -6.70739354e-09]"
Trafo Version4;10;7;[0, 1, 2, 3, 5, 7, 8];m_default;21;248;369;4,78E+00;"[-1.15468925e-08 -1.35086007e-08 -7.73743833e-09  1.82798976e-09
  1.30313632e-08  2.92923187e-08  1.54134294e-08  1.05024412e-08
 -1.43644953e-08 -3.14678933e-08]"
